time,numworkers,streamsize
14360004,16,5000
14365103,16,5000
14370205,16,5000
14375360,16,5000
14380459,16,5000
14385562,16,5000
14390662,16,5000
14395764,16,5000
14400868,16,5000
14405967,16,5000
14411065,16,5000
14416168,16,5000
14421271,16,5000
14426386,16,5000
14431497,16,5000
14436598,16,5000
14441661,16,5000
14446764,16,5000
14451906,16,5000
14457014,16,5000
14462156,16,5000
14467256,16,5000
14472356,16,5000
14477455,16,5000
14482554,16,5000
14487652,16,5000
14492752,16,5000
14497850,16,5000
14502956,16,5000
14508060,16,5000
14513167,16,5000
14518267,16,5000
14523331,16,5000
14528430,16,5000
14533492,16,5000
14538591,16,5000
14543728,16,5000
14548834,16,5000
14553936,16,5000
14559027,16,5000
14564167,16,5000
14569265,16,5000
14574365,16,5000
14579463,16,5000
14584561,16,5000
14589667,16,5000
14594774,16,5000
14599908,16,5000
14604971,16,5000
14610077,16,5000
14615140,16,5000
14620285,16,5000
14625389,16,5000
14630465,16,5000
14635569,16,5000
14640674,16,5000
14645739,16,5000
14650837,16,5000
14655980,16,5000
14661081,16,5000
14666183,16,5000
14671277,16,5000
14676403,16,5000
14681500,16,5000
14686561,16,5000
14691661,16,5000
14696760,16,5000
14701823,16,5000
14706921,16,5000
14712018,16,5000
14717115,16,5000
14722217,16,5000
14727304,16,5000
14732401,16,5000
14737498,16,5000
14742595,16,5000
14747694,16,5000
14752792,16,5000
14757838,16,5000
14762936,16,5000
14767997,16,5000
14773097,16,5000
14778202,16,5000
14783265,16,5000
14788363,16,5000
14793426,16,5000
14798524,16,5000
14803624,16,5000
14808722,16,5000
14813822,16,5000
14818928,16,5000
14824024,16,5000
14829134,16,5000
14834226,16,5000
14839316,16,5000
14844413,16,5000
14849474,16,5000
14854582,16,5000
14859688,16,5000
14864750,16,5000
14869850,16,5000
14874989,16,5000
14880094,16,5000
14885199,16,5000
14890342,16,5000
14895451,16,5000
14900571,16,5000
14905692,16,5000
14910795,16,5000
14915902,16,5000
14921006,16,5000
14926109,16,5000
14931171,16,5000
14936265,16,5000
14941417,16,5000
14946545,16,5000
14951642,16,5000
14956787,16,5000
14961907,16,5000
14966953,16,5000
14972055,16,5000
14977141,16,5000
14982199,16,5000
14987285,16,5000
14992359,16,5000
14997457,16,5000
15002576,16,5000
15007634,16,5000
15012756,16,5000
15017857,16,5000
15022960,16,5000
15028065,16,5000
15033175,16,5000
15038234,16,5000
15043321,16,5000
15048380,16,5000
15053484,16,5000
15058583,16,5000
15063642,16,5000
15068793,16,5000
15073891,16,5000
15079002,16,5000
15084104,16,5000
15089246,16,5000
15094309,16,5000
15099407,16,5000
15104506,16,5000
15109604,16,5000
15114703,16,5000
15119832,16,5000
15124930,16,5000
15130067,16,5000
15135130,16,5000
15140233,16,5000
15145337,16,5000
15150479,16,5000
15155582,16,5000
15160685,16,5000
15165792,16,5000
15170935,16,5000
15176000,16,5000
15181097,16,5000
15186196,16,5000
15191289,16,5000
15196386,16,5000
15201525,16,5000
15206630,16,5000
15211770,16,5000
15216868,16,5000
15221969,16,5000
15227009,16,5000
15232107,16,5000
15237215,16,5000
15242315,16,5000
15247413,16,5000
